Boro,Town
Northford,North Branford
Cos Cob,Greenwich
Broad Brook,East Windsor
Danielson,Killingly
Dayville,Killingly
Pawcatuck,Stonington
Jewett City,Griswold
Riverside,Greenwich
Oakville,Watertown
Storrs,Mansfield
Rockville,Vernon
Unionville,Farmington
Pleasant Valley,Barkhamsted
South Glastonbury,Glastonbury
Vernon Rockville,Vernon
Terryville,Bristol
Kensington,Berlin
Willimantic,Windham
Stafford Sp,Stafford
West Suffield,Suffield
West Simsbury,Simsbury
Plantsville,Southington
East Berlin,Berlin
East Hartland,Hartland
Collinsville,Canton
Weatogue,Simsbury
West Granby,Granby
Milldale,Southington
Marion,Southington
East Berlin,Berlin
Staffordville,Stafford
Amston,Hebron
Storrs Mansfield,Mansfield
Stafford Springs,Stafford
Baltic,Sprague
Mansfield Center,Mansfield
Mansfield Ctr,Mansfield
Somersville,Somers
Bpt,Bridgeport
Georgetown,Fairfield
Glenbrook,Stamford
Hawleyville,Newtown
Huntington,Shelton
Old Greenwich,Greenwich
Redding Center,Redding
Redding Ridge,Redding
Rowayton,Norwalk
Sandy Hook,Newtown
Sandyhook,Newtown
South Norwalk,Norwalk
Southport,Fairfield
Springdale,Stamford
West Redding,Redding
Bkln,Brooklyn
Central Village,Plainfield
East Woodstock,Woodstock
No Grosvenordale,Grosvenordale
North Windham,Windham
East Kilingly,Killingly
Grosvenor Dale,Grosvenordale
Woodstock Valley,Woodstock
South Woodstock,Woodstock
Oneco,Sterling
Rogers,Killingly
Wauregan,Plainfield
South Windham,Windham
Quinebaug,Thompson
Pomfret Ctr,Pomfret
Pomfret Center,Pomfret
Moosup,Plainfield
Bantam,Litchfield
Cornwall Bridge,Cornwall
East Canaan,Canaan
Falls Village,Canaan
Lakeville,Salisbury
New Preston,Washington
Northfield,Litchfield
Pine Meadow,New Hartford
Riverton,Barkhamsted
South Kent,Kent
Washington Depot,Washington
Winsted,Winchester
Lakeside,Morris
Centerbrook,Essex
Cobalt,East Hampton
Ivoryton,Essex
Higganum,Haddam
Middle Haddam,Haddam
Moodus,East Haddam
Rockfall,Middlefield
Uncasville,Montville
Gales Ferry,Ledyard
Hanover,Sprague
Hadlyme,Lyme
Niantic,East Lyme
Taftville,Norwich
Mystic,Mystic
Oakdale,Montville
North Franklin,Franklin
Old Mystic,Groton
Quaker Hill,Waterford
South Lyme,Lyme
West Mystic,Groton
Yantic,Norwich
Canton Center,Canton
East Glastonbury,Glastonbury
East Windsor Hill,South Windsor
North Canton,Canton
North Granby,Granby
Poquonock,Windsor
Taconic,Salisbury
Tariffville,Simsbury
West Hartland,Hartland
Winchester Center,Winchester
Abington,Pomfret
Ballouville,Killingly
East Killingly,Killingly
Fabyan,Thompson
Mansfield Depot,Mansfield
North Grosvenordale,Grosvenordale
South Willington,Willington
Gilman,Bozrah
Mashantucket,Ledyard
Versailles,Lisbon
Botsford,Newtown
North Westchester,Colchester
South Britain,Southbury
Stevenson,Monroe
Gaylordsville,New Milford
New Preston Marble Dale,Washington
Pequabuck,Plymouth
West Cornwall,Cornwall
Greens Farms,Westport
